country,pca1,pca2,pca3,pca4,pca5
United States,3.916908864881088,0.9249969030623527,-5.7741966148085995,3.3396500394620214,6.057431211180817
European Union,5.8343277846621415,1.12018902985902,-1.4395266053576339,0.9947363911277762,2.390382482843965
United Kingdom,0.29082914161091566,0.20055943381757987,-1.0390666451075243,1.6677471480769521,1.7748742692762896
Australia,0.7842968648447195,-0.23866748986949993,0.014205997759435473,-0.03479678472428446,1.8402412450277372
Germany,1.0475824976277515,1.2404962264192299,-0.30671184916745925,-0.16878855843325724,0.572278801808672
Türkiye,-1.398237237097146,-1.7991454846525747,-1.3066987997849704,2.4360685590724676,0.6669863696118568
Malta,0.822483054040004,0.41630917500550985,-0.28170278326171716,1.0578063076242075,1.0641154155567283
Spain,0.49644716416744555,-1.1227212938949274,-0.9597270859914303,0.3335159967106008,0.22718011232227675
Belgium,-0.4441682399309264,-1.6411546322675954,-0.12797706302577525,0.8775808985376319,0.5190201497919141
India,1.6243839418738835,0.18013535574745546,-1.1074288586988401,1.0367230131190488,-0.9285134526642265
Japan,1.8723349068961943,0.20146661535922925,-0.03248684926908887,-0.6894458106596911,0.6417561141608827
Mexico,0.7098927394447059,1.1645707050339416,-0.45464990007233896,0.16974705062243423,0.3369955771319485
Singapore,-1.4615783046608848,-0.24066051131199195,0.13446808368208785,1.0561692940958958,-0.01603197749885532
Austria,0.036106390396854975,-0.8534823209010055,-1.0760257881243602,0.7232301759822446,-1.1895062144214497
France,2.107604642625588,0.24765235434061375,0.8532115436646325,0.6728368411021498,-0.758631992026644
Colombia,0.704975455212515,-0.3050919483705788,0.8934626231122884,0.736462207813946,-0.4050338796985221
Saudi Arabia,1.1585681352308475,0.8575989556285136,0.011481507224713992,-0.7745395534718892,0.341560721160788
Serbia,-0.20587509354140898,-2.024294143558245,-0.3913202768936888,0.5257982458482379,-0.7887279326003073
Israel,-0.566127112670527,-0.6402783645852401,-1.3732202995538556,-0.22714324584768184,-0.6052463947446114
Norway,0.7091888072327885,0.6581935572829498,-0.8234280441939431,-0.3245736078605785,-0.08856757320868484
Canada,-0.7837516520719495,0.22612170717890656,-0.8776448508977402,-0.2573717450636651,-0.4893820724161595
