component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.20553740006956037,0.20553740006956037
PC2,0.17770801171343503,0.3832454117829954
PC3,0.11359977016961069,0.49684518195260613
PC4,0.09471827503047738,0.5915634569830835
PC5,0.08832783297989784,0.6798912899629814
