rule_type,n_countries_zero,n_countries_nonzero,pct_countries_zero,pct_countries_nonzero
aggregation,34,9,0.7906976744186046,0.20930232558139536
boundary,27,16,0.627906976744186,0.37209302325581395
payoff,15,28,0.3488372093023256,0.6511627906976745
scope,15,28,0.3488372093023256,0.6511627906976745
position,11,32,0.2558139534883721,0.7441860465116279
information,5,38,0.11627906976744186,0.8837209302325582
choice,0,43,0.0,1.0
