pc,mean_primary,mean_excluded,mean_diff_primary_minus_excluded,n_primary,n_excluded
pc1,0.15131659587571197,0.08507712624146448,0.0662394696342475,33903,13609
pc2,-0.01776585691551971,0.005988218788767718,-0.023754075704287426,33903,13609
pc3,-0.0008253493471267195,0.06394371217379932,-0.06476906152092604,33903,13609
pc4,-0.016222931726677915,0.005833132852169708,-0.022056064578847623,33903,13609
pc5,-0.007023748424754435,-0.0008880754126842627,-0.0061356730120701725,33903,13609
pc6,6.0676208538651265e-05,0.03062923017760918,-0.03056855396907053,33903,13609
pc7,-0.0006693174469999314,-0.0013711741383776138,0.0007018566913776824,33903,13609
pc8,0.0010319938602357899,0.022923690617950424,-0.021891696757714633,33903,13609
pc9,-0.0008268654551485308,-0.002260375554261384,0.0014335100991128532,33903,13609
pc10,0.0025201057590216675,0.00046534304854343566,0.0020547627104782317,33903,13609
pc11,-0.010878940118808689,0.007566632453647697,-0.018445572572456385,33903,13609
pc12,0.0010705268293447904,0.007022620649286879,-0.0059520938199420885,33903,13609
pc13,0.0004014274092308792,-0.012950797085821664,0.013352224495052543,33903,13609
pc14,-0.007841747416263698,-0.005534363871894577,-0.0023073835443691215,33903,13609
pc15,-0.0019942139457720465,0.012739741488635577,-0.014733955434407624,33903,13609
pc16,-0.00019379569419462864,-0.000981736627946681,0.0007879409337520523,33903,13609
pc17,-0.0002029725534924393,-0.002573547425401586,0.0023705748719091467,33903,13609
pc18,-0.0003463720286028711,-0.003903934087982382,0.003557562059379511,33903,13609
pc19,-0.0003908024276327899,-0.0010541478279333,0.00066334540030051,33903,13609
pc20,0.000715170862984637,0.004314451834749031,-0.0035992809717643936,33903,13609
pc21,-0.0006968945328317893,0.0011994868896792487,-0.001896381422511038,33903,13609
pc22,-0.0013442115861697023,0.002411567472017243,-0.003755779058186945,33903,13609
pc23,0.00020870353627275892,-0.0029286697215647885,0.0031373732578375475,33903,13609
pc24,0.0020294836843442864,-0.0036497599101951305,0.0056792435945394164,33903,13609
pc25,-0.0008873470758271827,0.002051170793172913,-0.0029385178690000957,33903,13609
