country,cluster_id,pca1,pca2,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,governance_density_index
African Union,0,-1.3843542618316034,-1.7734354297892585,-0.4266238875668141,-2.154826862381712,0.8146972181084635,-0.4826107747988788
Argentina,0,-1.4834039256783085,-1.5684471954055053,1.1838288875878853,-0.066166117841384,0.440690251550582,0.1714870102943436
Armenia,0,4.096090246177876,1.5366183080190223,-1.26436249450522,2.360355030647868,-0.8324307298213829,-0.7230961381405233
Australia,0,-1.780836928519011,1.191687684315904,0.3781336744588962,-0.5159422398218054,-0.3828676956170708,0.7523989753461362
Austria,0,-0.6014476036265158,0.3245696080020648,0.0582157874095147,-0.2454598183188335,0.3789702137675544,0.2867543432635295
Belgium,0,0.7120824755511033,1.155536858236435,-0.3691354476164636,1.3632806139619025,-0.1920147223043145,0.6884093542422193
Brazil,0,1.875159662881512,0.2830666494212372,-1.26436249450522,-0.5155205310275333,-0.039129285328097,-0.649219152794413
Bulgaria,0,1.7972026712885385,0.503114978910854,-0.4989071898971032,0.6858616245262645,-0.0634359405591101,-0.0424032856843108
Canada,0,-2.172430577153603,-2.029934634812405,1.4358778187847894,-0.5206405392062521,0.3375334282664599,-0.1961764453919538
Chile,0,2.5195385352459554,1.0397250352876106,-0.7700777192241485,0.7187196781601837,-0.8593106920649961,-0.3667770170146305
China,0,0.1572223875416268,-0.1420889390831637,-0.2065561665619944,-0.612042774164294,-0.1439743669128014,-0.302755290986018
Colombia,0,0.4084236078754306,0.9655644289772792,-0.4025981521337584,0.2599340294862736,-0.2031639797658397,0.312293545552544
Costa Rica,0,-2.453258363684585,-2.1856878181479087,1.593836183827888,-0.4318136524458442,0.333263063226373,0.4593547214876654
Council of Europe,0,-0.84107087120368,-1.4571958477457445,-0.8725964989075536,-2.19055015169712,0.8292599065098969,-0.5413898898713264
Croatia,0,-2.1474089044937545,-3.1457190782568847,2.382878374158093,-0.895709723950992,-0.5268027157446187,-0.6337570706994584
Cyprus,0,2.0010128948545094,0.786016818369588,-0.8480603094003998,0.2327119982500158,-0.4444080049568026,0.3151057868986246
Czech Republic,0,1.907309945452512,0.4269499219641334,-0.2826616007855484,1.168019680499871,-0.4924838778228594,-0.3329515837645551
Denmark,0,0.5819149838645836,-0.0681768382772998,-0.4456304270366426,0.1442749422295555,0.0529606768829751,-0.1909630000852175
Egypt,0,1.776143930673019,0.4570562336640472,-0.860471811073112,0.325025340139935,-0.3384726064928337,-0.4510385126802527
Estonia,0,0.2124874288907975,-0.5996818879326262,0.0033860010984976,-0.1246092104893757,0.0179126025641693,-0.3488058330453753
Finland,0,0.4866439893959036,0.4957103996364324,-0.5334972891427556,0.1251011443251145,-0.0028114943890843,0.0815391323964544
France,0,-0.6768432906214988,-0.2356477787485466,0.2886047578462255,-0.2380491200518161,0.0497930481812973,0.0266078169905671
G7,0,0.794527640694769,0.0563232545909759,-0.1900779067584644,-0.2380491200518161,-0.4169321158288356,0.1851204955898025
Germany,0,-2.09913330610236,0.5937099326121583,0.1931019594306725,-1.015825898744959,0.4447418030858251,0.5276980083644619
