doc_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,country
0202754ecda31003,0.00011506928191070433,1.7087848662028226e-05,3.553896393182928e-05,0.00010924434047973341,1.597154565905764e-07,7.932741528311056e-08,0.0001334060764915713,5.994499719006741e-06,3.211781594830793e-05,4.5296836396667225e-05,0.0003546231289314164,7.932883660453075e-05,1.3625132244125516e-05,8.551087952751432e-05,1.5022291396513974e-05,5.783898733588271e-05,9.880536864778879e-06,0.00039902563735600435,2.1143954987734102e-05,9.778086424910775e-06,1.4291610812849053e-05,4.711998531007576e-05,2.72616310017141e-06,2.940821728186808e-05,0.00014531004867229447,Malta
022171a37cc70085,0.004541610433067533,0.0007296132156857634,0.0019651280944872323,0.0016387059177173195,0.0010619199736418613,6.0103627472837e-06,0.0032159388104426073,0.0001610886660687259,0.003944461831466338,0.00018598028743404893,0.00032538515594203384,0.00011838952110358938,0.00046506998609249404,0.0013319727532986145,0.00046364467710257755,0.0006571600494250049,0.0005228416007944271,0.0010246821425899417,0.0007219988693244056,0.0001809890498425584,0.00016297965872815357,0.0006644881208960945,0.0014842352383446374,0.00046061877638017406,0.0007340576949028891,OECD
022c930c18687f91,0.0029404560721524257,0.00047103472953787207,5.4126746886410015e-05,0.0016857402504499885,0.0020719392165751264,7.104209984924818e-06,0.002925284833263135,2.5569580579651475e-05,0.00036865697129100544,0.00018640089265854198,0.0005537134470534275,0.0006075229138719772,0.000724667380319349,0.001498372373520862,0.00026229243117327733,0.0036209284074013182,0.00060608669753878,0.00047847116148619487,0.0012710577698153063,0.0001263198006454925,0.00045677012759983283,0.00031389124274313094,0.0006450598261675152,0.001003658343976761,0.00021214349872418893,United Kingdom
02456bffdb59d512,,,,,,,,,,,,,,,,,,,,,,,,,,Finland
0266d2fe4fd54289,,,,,,,,,,,,,,,,,,,,,,,,,,Spain
0293fdef24d89c59,0.0023223068031966733,0.00046966604986547263,0.00023142810364523757,0.0017997444683955483,0.0003103970943444001,4.774078114479129e-06,0.0022812196863846047,3.561479881425061e-05,0.0026386067486186765,0.0001624767334631943,0.0008015540470536559,0.0015440736533879728,0.002120243532301837,0.001812026357962819,0.0018579145776810863,0.0013647459550181315,0.0027693752219371108,0.0010570631022777705,0.003722925044267981,0.0009705169616583544,0.0008627653397437256,0.0019623066667588595,0.003482339255950057,0.001992479484340292,0.0005245189587816899,Spain
03807803a9187364,0.0010045457601680872,0.016398214911582994,2.231058524475499e-05,0.005608166951133924,0.012201922421138219,2.902644659362667e-06,0.0018055272333022758,1.5059702136182848e-05,0.0001553480949857079,0.006075205970121018,0.0007632461009340798,0.0002128469833648182,0.001428756145154627,0.0005401708937009933,0.003105892866728942,0.0008503294650425464,0.0005764551920329546,0.0019522793929996009,0.0003886919464162463,0.0010991193932214755,0.011234190091605407,0.00048754473773203645,0.001496318971369996,0.006040594541917373,0.00045006008468431177,United States
048238ce0ea17935,0.00018183601158640493,0.000129022602970211,7.040017547376946e-06,0.0004246297253188183,0.0022836451471826957,4.338914377741412e-06,0.0015893703861157257,4.0709023322717976e-05,0.00036681565597296826,5.547713640251914e-05,0.00016947800603955593,0.00022570619234287372,0.0004127668383700233,0.0001252553687445258,5.340836771834939e-05,9.724361852713593e-05,5.894051769683791e-06,7.2181980907786836e-06,4.690919612713535e-08,0.0009489239581482792,0.00023138212945486336,5.5835007980569964e-05,0.0001506843503252745,1.6278911438441828e-06,0.00021808756770972442,Türkiye
048d84e63736c61e,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan
04afae0931dcf278,0.0013342681784794374,0.00017174042499294167,2.8516874487418445e-05,0.00011996489189837104,6.762434407753635e-05,9.608396492787651e-06,0.0005496925768960737,0.02402597819272286,0.0031827730888220602,6.896904854227801e-05,0.000519207801420854,0.0063590371665347,0.0002065226118522724,0.00027330460255523876,0.0006305412324679653,0.0001330881738672968,0.0025688141497383567,5.851324452583968e-05,0.00041720452622981234,0.00011411918630754347,0.00026246845789017176,0.0004857221639726678,0.00022940725735104973,0.0005459365335148326,0.0007299438146093877,Germany
