doc_id,chunk_id,sentence_text,sentence_index_in_chunk,d_lemma,d_surface,d_class,d_polarity,d_method,i_head_lemma,i_phrase_text,i_has_conj,i_method,c_texts,c_types,c_cues,c_count,b_text,b_cue,b_found,a_raw_text,a_head,a_class,a_method,a_is_conjoined,o_local_present,o_local_text,o_local_type,o_local_cue,statement_type_candidate
0202754ecda31003,42,"The Applicant is, amongst others, required to submit: •",0,require,required,obligation,positive,deontic_predicate,submit,submit,False,predicate_xcomp,,,,0,,,False,,,implicit,no_subject,False,False,,,,norm_candidate
0202754ecda31003,43,"A Residency Plan which provides information about the IDPS, describes how the IDPS will develop throughout its Sandbox residency, planned assessments, reporting plans and residency risk assessment.",0,,,,,,describe,describes,False,strategy_root,,,,0,assessments,sentence,True,"A Residency Plan which provides information about the IDPS ,",plan,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,47,Further details can be found in Section 6 of this document.,0,can,can,permission,positive,modal_aux,find,found,False,modal_head,in Section 6 of this document,prep_phrase,in,1,,,False,Further details,detail,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,55,MDIA | TAS | Programme Guidelines The Authority shall conduct a technical evaluation of the Application Form received together with possible due diligence processes on the Applicant and Technical Officer.,0,shall,shall,obligation,positive,modal_aux,conduct|receive,conduct a technical evaluation of the Application Form|received,True,modal_head,,,,0,,,False,MDIA,mdia,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,56,The Authority shall thereafter notify the Applicant of the outcome of this process.,0,shall,shall,obligation,positive,modal_aux,notify,notify the Applicant of the outcome of this process,False,modal_head,,,,0,,,False,The Authority,authority,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,57,"Upon a successful outcome, the Applicant must thereafter appoint a Technical Expert, who shall be approved by the Authority, before being engaged in performing the initial and subsequent Technical Soundness Reviews.",0,must,must,obligation,positive,modal_aux,appoint,"appoint a Technical Expert , who shall be approved by the Authority ,",False,modal_head,Upon a successful outcome|before being engaged in performing the initial and subsequent Technical Soundness Reviews,prep_phrase|prep_phrase,upon|before,2,,,False,the Applicant,applicant,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,58,The Applicant shall trigger an Initial Technical Soundness Review of the current state of the IDPS prior to it onboarding the Sandbox.,0,shall,shall,obligation,positive,modal_aux,trigger,trigger an Initial Technical Soundness Review of the current state of the IDPS,False,modal_head,,,,0,,,False,The Applicant,applicant,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,58,Such a report shall be received by the Authority within three (3) months of the Authority’s approval of the Technical Expert.,1,shall,shall,obligation,positive,modal_aux,receive,received,False,modal_head,within three ( 3 ) months of the Authority ’s approval of the Technical Expert,prep_phrase,within,1,,,False,Such a report,report,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,60,"In the case of a positive Technical Soundness Review Report, or one which identifies minor issues which the Authority deems to be acceptable, the prospective resident shall be notified and admitted into the Sandbox.",0,shall,shall,obligation,positive,modal_aux,notify|admit,notified|admitted,True,modal_head,"In the case of a positive Technical Soundness Review Report , or one which identifies minor issues the Authority deems which to be acceptable",prep_phrase,in,1,,,False,the prospective resident,resident,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,61,"Once accepted in the MDIA-TAS, the Authority will issue a Sandbox Residency Acceptance Notice (the Notice) which provides the details of how the IDPS shall be identified, including any public key or a brand name and which will carry a unique number for purposes of identification.",0,shall,shall,obligation,positive,modal_aux,identify,identified,False,modal_head,,,,0,,,False,the IDPS,idps,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,62,"The IDPS shall post this Notice, in a publicly accessible location which shall be specified by the Authority, in an easily accessible and legible format so it can be viewed and understood by all users of the IDPS.",0,shall,shall,obligation,positive,modal_aux,post,post this Notice,False,modal_head,in a publicly accessible location which shall be specified by the Authority|in an easily accessible and legible format,prep_phrase|prep_phrase,in|in,2,,,False,The IDPS,idps,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,64,"MDIA | TAS | Programme Guidelines The Residency Plan shall define the MDIA-issued Control Objectives that shall be evaluated against, and the respective applicable segment of the IDPS in relation to a particular stage of the Sandbox Residency referred to as Milestones.",0,shall,shall,obligation,positive,modal_aux,define|refer,define the MDIA - issued Control Objectives that shall be evaluated against|referred,True,modal_head,,,,0,,,False,MDIA | TAS |,mdia,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,65,"For each milestone attained by the Resident, the Technical Expert shall submit a Technical Soundness Review Report to the Resident and MDIA.",0,shall,shall,obligation,positive,modal_aux,submit,submit a Technical Soundness Review Report,False,modal_head,For each milestone attained by the Resident,prep_phrase,for,1,,,False,the Technical Expert,expert,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,66,"Within such a report the Technical Expert shall provide visibility of the attainment or failure of the identified Control Objectives, accompanied by recommendations for potential means of rectification or the failed Control Objectives.",0,shall,shall,obligation,positive,modal_aux,provide,"provide visibility of the attainment or failure of the identified Control Objectives , accompanied by recommendations for potential means of rectification or the failed Control Objectives",False,modal_head,Within such a report,prep_phrase,within,1,,,False,the Technical Expert,expert,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,69,"Sandbox Residents are required to submit a progress report to the Authority at least every 6 months (“Progress Report”) from the date of admission into the Sandbox, or as requested by the Authority.",0,require,required,obligation,positive,deontic_predicate,submit,submit a progress report to the Authority,False,predicate_xcomp,,,,0,,,False,,,implicit,no_subject,False,False,,,,norm_candidate
0202754ecda31003,69,"It is recognised that due to the nature of the IDPSs resident in the MDIA-TAS, the plans and documentation provided by the Applicant in the Application Form may require changes and updates.",1,may,may,permission,positive,modal_aux,require,require changes and updates,False,modal_head,,,,0,,,False,the plans and documentation provided by the Applicant in the Application Form,plan,explicit,nsubj,True,False,,,,norm_candidate
0202754ecda31003,70,"Approval for any changes to Application documents shall be formally requested to the Authority, which shall be",0,shall,shall,obligation,positive,modal_aux,request,requested,False,modal_head,,,,0,,,False,Approval for any changes to Application documents,approval,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,75,Resident Commence working on the IDPS until reaching the first milestone Resident Processes Repeat until all Residency plan milestones are achieved.,0,,,,,,work,working,False,strategy_root,,,,0,,,False,,,implicit,no_subject,False,False,,,,strategy_candidate
0202754ecda31003,76,MDIA | TAS | Programme Guidelines evaluated and either accepted or rejected.,0,,,,,,evaluate|accept|reject,evaluated|accepted|rejected,True,strategy_root,,,,0,,,False,MDIA,mdia,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,76,"In addition, the Technical Officer is also required to notify MDIA of any changes in the IDPS and provide any updated documentation.",1,require,required,obligation,positive,deontic_predicate,notify|provide,notify MDIA of any changes in the IDPS|provide any updated documentation,True,predicate_xcomp,,,,0,,,False,,,implicit,no_subject,False,False,,,,norm_candidate
0202754ecda31003,77,"3.3 Standard Offboarding Phase Sandbox Residents can exit or may be removed by the Authority from the Sandbox prior to completion of the Residency Plan in one of these instances: (i) the Resident withdraws from the Sandbox for any reason at any stage; (ii) the Resident proposes changes to the Application Form, Residency Plan or Technical Officer or Technical Expert which are not accepted by the Authority; (iii) the Authority decides to expel a Resident from the Sandbox following a violation of applicable terms and conditions; (iv) the Authority decides to terminate the Residency of a Resident for its failure to achieve or rectify the defined Control Objectives and scope within the milestones; (v) the Authority is of the opinion that the IDPS within the Sandbox may give rise to third party risks or;",0,can,can,permission,positive,modal_aux,exit|remove|withdraw,exit|removed|withdraws,True,modal_head,,,,0,,,False,3.3 Standard Offboarding Phase Sandbox Residents,residents,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,83,MDIA Will terminate the residency if issues are not rectified.,0,,,,,,terminate,terminate the residency,False,strategy_root,if issues are not rectified,trigger_clause,if,1,,,False,MDIA,mdia,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,84,MDIA | TAS | Programme Guidelines (vi) the MDIA terminates or suspends the Sandbox.,0,,,,,,terminate|suspend,terminates|suspends the Sandbox,True,strategy_root,,,,0,,,False,MDIA,mdia,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,84,"Where the Resident completes the Sandbox or wishes to exit the Sandbox (Instance i), it shall notify in writing the Authority and shall not be deemed to have exited the Sandbox prior to the Authority’s confirmation of such exit.",1,shall,shall,obligation,positive,modal_aux,notify|deem,notify|deemed,True,modal_head,in writing the Authority,prep_phrase,in,1,,,False,it,it,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,86,"the Authority will notify the Resident, who will be given a reasonable timeframe to submit its position to the MDIA before the MDIA takes any further measures.",0,,,,,,notify,"notify the Resident , who will be given a reasonable timeframe to submit its position to the MDIA before the MDIA takes any further measures",False,strategy_root,before the MDIA takes any further measures,trigger_clause,before,1,,,False,the Authority,authority,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,87,"Depending on the nature of the issue identified, the Authority may grant the Resident the opportunity to rectify the issue prior to terminating the Residency.",0,may,may,permission,positive,modal_aux,grant,grant the opportunity to rectify the issue prior to terminating the Residency,False,modal_head,,,,0,,,False,the Authority,authority,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,90,"MDIA | TAS | Programme Guidelines 5 Residency Plan Guidelines As part of the Application Form for Sandbox Residency, the Applicant must include a Residency Plan which provides information on how he envisages the IDPS to develop throughout the Residency and what information will be provided to the Authority.",0,must,must,obligation,positive,modal_aux,include,include a Residency Plan which provides information on how he envisages the IDPS to develop throughout the Residency and what information will be provided to the Authority,False,modal_head,,,,0,,,False,MDIA | TAS | Programme Guidelines 5 Residency Plan Guidelines,mdia,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,91,"The Residency Plan should be closely tied to the information provided in the Blueprint, which is also to be submitted with the Application Form, as outlined below.",0,should,should,obligation,positive,modal_aux,tie,tied,False,modal_head,,,,0,,,False,The Residency Plan,plan,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,92,The Residency Plan should include a number of parts documenting: i. Justification and Motivation for participation in the Sandbox; ii.,0,should,should,obligation,positive,modal_aux,include,include a number of parts documenting : i. Justification and Motivation for participation in the Sandbox ; ii,False,modal_head,,,,0,,,False,The Residency Plan,plan,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,93,"IDPS Description should specify which technologies or parts thereof are within scope of the Application Form and which are not, and also any applicable limitations (e.g. number of users or volume of transactions).",0,should,should,obligation,positive,modal_aux,specify,specify,False,modal_head,,,,0,,,False,IDPS Description,description,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,93,which will eventually be published by the Authority in the Register; iii.,1,,,,,,publish,published,False,strategy_root,,,,0,,,False,which,which,explicit,nsubjpass,False,False,,,,strategy_candidate
0202754ecda31003,95,The Applicant/Resident has to clearly indicate the intended timeframes for the attainment of each milestone; iv.,0,,,,,,have,has,False,strategy_root,,,,0,,,False,The Applicant / Resident,resident,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,97,"Risks should be identified and assessed in terms of impact, severity, and probability of occurrence.",0,should,should,obligation,positive,modal_aux,identify|assess,identified|assessed,True,modal_head,,,,0,,,False,Risks,risk,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,98,The risk analysis should also include mitigation plans against the identified risks.,0,should,should,obligation,positive,modal_aux,include,include mitigation plans against the identified risks,False,modal_head,,,,0,,,False,The risk analysis,analysis,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,99,"6 Sandbox Blueprint Guidelines The Blueprint should describe existing and foreseen technologies, together with processes in place to develop such technology as part of the IDPS.",0,should,should,obligation,positive,modal_aux,describe,"describe existing and foreseen technologies ,",False,modal_head,together with processes in place,prep_phrase,with,1,,,False,6 Sandbox Blueprint Guidelines The Blueprint,blueprint,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,107,"MDIA | TAS | Programme Guidelines • An exhaustive description of any supporting technology which is required for the operation of the IDPS, such as external libraries.",0,,,,,,•,"• An exhaustive description of any supporting technology which is required for the operation of the IDPS , such as external libraries",False,strategy_root,,,,0,,,False,MDIA | TAS | Programme Guidelines,mdia,explicit,nsubj,True,False,,,,strategy_candidate
0202754ecda31003,108,"• Safeguards that are in place and limitations within which the IDPS may operate safely (e.g. limit of the number of users, or temporary user-in-the-loop implementation) and which shall apply to its Residency within the Sandbox.",0,may,may,permission,positive,modal_aux,operate,operate,False,modal_head,within which,prep_phrase,within,1,,,False,the IDPS,idps,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,109,• Details of the Forensic Node (if the IDPS is already deployed) or plans on how the Forensic Node will be deployed (if the IDPS is still to be deployed) – see further detail in Section 8 •,0,,,,,,see,see further detail,False,strategy_root,if the IDPS is still to be deployed )|in Section 8 •,trigger_clause|prep_phrase,if|in,2,,,False,• Details of the Forensic Node ( if the IDPS is already deployed ) or plans on how the Forensic Node will be deployed,detail,explicit,nsubj,False,False,,,,strategy_candidate
