component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.2674071665255842,0.2674071665255842
PC2,0.20969188135876948,0.4770990478843537
PC3,0.14114193105876757,0.6182409789431212
PC4,0.1065826395224136,0.7248236184655349
PC5,0.08441302642481796,0.8092366448903529
