country,pca1,pca2,pca3,pca4,pca5
United States,-9.49326550813828,11.908895521234614,-1.4679642545892961,-1.2369067480741667,0.49880725177625984
European Union,-7.26116804445758,4.259989379496362,-0.5619873437138203,0.15672505008277893,-0.0924256872230463
United Kingdom,-3.9431745625909507,4.205108465592009,1.2315450614938634,0.6098716047552427,-0.7792254870679032
Germany,-2.0991333061023596,0.5937099326121583,0.6521345523839621,1.4399241011312127,0.414125526897297
Spain,-0.7808468104189312,0.5775050832437253,-0.37390023087174784,-1.933865825036525,0.5772460938029235
Australia,-1.780836928519011,1.1916876843159039,0.7757354653645776,-0.36071702769789477,-0.4184372099506963
Saudi Arabia,-2.0021281306118603,-1.0868532349559545,-0.5286762675445416,3.83348353970163,-0.010921570847152121
Malta,-0.29825303053998203,0.3597141434221908,1.112924042408295,-0.33218818045551585,0.49453725352952693
Türkiye,1.8788594365310363,2.5899971777581006,-0.8352490053830299,-1.19130739911629,-0.47402076808503946
Singapore,0.03639341484428832,0.23897820319656315,1.3627001116450623,-0.12271654334680199,0.055100952428024305
Japan,-2.695704945737009,0.04820360304254113,0.2314687924554271,1.2158554047577415,-0.3865764945537705
France,-0.6768432906214988,-0.23564777874854667,0.7372022106883669,0.5379370641747349,0.1060119529867896
China,0.1572223875416268,-0.14208893908316372,0.994545790842699,2.5138927357256082,2.481267357249267
Austria,-0.6014476036265158,0.32456960800206486,-0.5012265173419761,1.2209364215880831,-0.27319074800830295
Belgium,0.7120824755511033,1.155536858236435,0.8075392888192904,-2.3653367766597255,-0.7205484757071958
India,-1.2277785881238097,0.4185371274715959,0.9867340864663793,1.6659902996835942,-0.20424069377734538
Colombia,0.4084236078754306,0.9655644289772791,0.2382386359377977,-0.4071765277055866,0.6230220142183444
Israel,-0.4527846095009208,-0.3252320077506835,-1.0482358763543271,0.3457733288192597,0.4339868324330078
Canada,-2.172430577153603,-2.029934634812405,-0.006098049563783329,-1.0417207244934679,-0.5558683685092769
Norway,-0.9549474167119543,0.3372140696748289,0.9390605162280856,1.9606525284505771,-0.39930686030028717
Mexico,-0.19003221139890877,0.18928998532012825,-0.5244698525715602,1.193507952663922,-0.3352298015929458
Finland,0.48664398939590364,0.49571039963643243,0.8576433427393918,-0.9646269083606533,0.6781948466470845
Serbia,1.2661216565000892,0.30573963654034325,-1.7289906849330277,-1.2503984529079626,-0.24567851084625847
Peru,1.4907624453309722,1.3394111180666861,-1.0441081453055034,1.6109949747022934,-0.48486096770281845
Sweden,0.4617466082761993,-0.25841777333719357,0.9267613052183453,-0.2508707049775893,0.5026455741796103
Netherlands,-1.223521816927442,-1.2692471144498185,0.20461620170343509,-0.21391758989695422,-2.020900873655001
Portugal,1.9961238991357568,0.9384907668973157,-0.6049730370437872,0.711234258845276,-0.6588941871348484
Denmark,0.5819149838645836,-0.06817683827729984,1.6679811076524467,-0.9201110379967685,0.02845206757813246
Italy,0.1404938696228631,-0.3784275629953564,-0.35573475130391774,-0.19965189595459915,0.472325942811193
Estonia,0.2124874288907975,-0.5996818879326262,0.09972411218743432,-0.9202776378392231,0.7816884015122673
Ireland,1.919194359384972,1.3442697328896394,1.0567440189945398,-0.2739734114007962,-0.6620182999293827
New Zealand,-0.5006818620983834,-0.8646159388708967,1.468899332462282,-0.5269995190636366,1.8050403097174215
Chile,2.5195385352459554,1.0397250352876106,-0.13898754681805842,0.13762995020581634,0.2348328797557588
OECD,-0.2317166235603222,-0.7320287325346883,1.89097418231683,1.326307347668707,0.6771167532560921
Czech Republic,1.9073099454525118,0.4269499219641334,-0.8128163543763977,-0.9583274414565633,-0.3068667271977187
Slovenia,1.42447530361192,-0.034900358227515325,0.4512601271353508,-1.1364270140369186,-0.8331715876560468
Egypt,1.776143930673019,0.45705623366404724,0.748650933997694,0.4607150922937531,0.9641699426068155
Thailand,-0.24794341696814443,-0.09511452523976541,0.3767982284582273,-0.6747309435120178,-0.3386454899694993
