country,cluster_id,pca1,pca2,pca3,pca4,pca5,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,governance_density_index,normative_orientation_index
African Union,0,-1.3843542618316034,-1.7734354297892585,1.8894981300861788,0.6632952748385436,4.17132299257374,-0.4266238875668141,-2.1548268623817117,0.8146972181084635,-0.4826107747988788,1.1958600816671545
Argentina,0,-1.4834039256783085,-1.5684471954055053,-0.9311302398872954,-0.29461065874411774,-1.84776942887211,1.1838288875878853,-0.06616611784138401,0.44069025155058206,0.17148701029434366,0.008611860254573242
Armenia,0,4.096090246177876,1.5366183080190223,-0.010318463167979727,-1.5773377035678784,-0.6554723396731881,-1.2643624945052199,2.3603550306478676,-0.8324307298213829,-0.7230961381405233,-1.2143502698059214
Australia,0,-1.780836928519011,1.1916876843159039,0.7757354653645776,-0.36071702769789477,-0.4184372099506963,0.37813367445889623,-0.5159422398218054,-0.3828676956170708,0.7523989753461362,0.33797629743680435
Austria,0,-0.6014476036265158,0.32456960800206486,-0.5012265173419761,1.2209364215880831,-0.27319074800830295,0.05821578740951476,-0.24545981831883354,0.3789702137675544,0.2867543432635295,0.09667731194551703
Belgium,0,0.7120824755511033,1.155536858236435,0.8075392888192904,-2.3653367766597255,-0.7205484757071958,-0.36913544761646366,1.3632806139619023,-0.19201472230431454,0.6884093542422193,-0.21777988033655368
Brazil,0,1.8751596628815121,0.2830666494212372,-0.9222106218368673,0.9759820269303027,2.108014481900688,-1.2643624945052199,-0.5155205310275333,-0.039129285328097035,-0.649219152794413,-0.11914869653254496
Bulgaria,0,1.7972026712885383,0.503114978910854,-0.6201536767919593,1.0926929035616235,-1.066507783044898,-0.49890718989710325,0.6858616245262645,-0.06343594055911013,-0.04240328568431084,-0.49214169338449326
Canada,0,-2.172430577153603,-2.029934634812405,-0.006098049563783329,-1.0417207244934679,-0.5558683685092769,1.4358778187847894,-0.5206405392062521,0.33753342826645993,-0.1961764453919538,0.20667013936301068
Chile,0,2.5195385352459554,1.0397250352876106,-0.13898754681805842,0.13762995020581634,0.2348328797557588,-0.7700777192241485,0.7187196781601837,-0.8593106920649961,-0.3667770170146305,-0.5901853270458566
China,0,0.1572223875416268,-0.14208893908316372,0.994545790842699,2.5138927357256082,2.481267357249267,-0.20655616656199444,-0.612042774164294,-0.14397436691280144,-0.30275529098601806,0.40865598492473804
Colombia,0,0.4084236078754306,0.9655644289772791,0.2382386359377977,-0.4071765277055866,0.6230220142183444,-0.4025981521337584,0.2599340294862736,-0.2031639797658397,0.312293545552544,0.02494504489189625
Costa Rica,0,-2.453258363684585,-2.1856878181479087,-1.2321862006913817,-4.3181948932176235,-2.158661910331704,1.593836183827888,-0.43181365244584424,0.333263063226373,0.4593547214876654,-0.13273601721209602
Council of Europe,0,-0.84107087120368,-1.4571958477457445,2.6202778587508773,1.5135359091309546,3.7306019046415453,-0.8725964989075536,-2.1905501516971198,0.8292599065098969,-0.5413898898713264,1.4965194290568242
Croatia,0,-2.1474089044937545,-3.1457190782568847,1.2349010057213812,-0.28277129221851516,-2.0754139367437303,2.382878374158093,-0.895709723950992,-0.5268027157446187,-0.6337570706994584,0.3496545272845471
Cyprus,0,2.0010128948545094,0.786016818369588,0.22022491922376844,0.3804519846568149,-0.3389630426693904,-0.8480603094003998,0.2327119982500158,-0.44440800495680266,0.3151057868986246,-0.22473735038307266
Czech Republic,0,1.9073099454525118,0.4269499219641334,-0.8128163543763977,-0.9583274414565633,-0.3068667271977187,-0.2826616007855484,1.168019680499871,-0.4924838778228594,-0.3329515837645551,-0.7662731246050335
Denmark,0,0.5819149838645836,-0.06817683827729984,1.6679811076524467,-0.9201110379967685,0.02845206757813246,-0.44563042703664263,0.14427494222955553,0.052960676882975184,-0.19096300008521758,0.27327924696985056
Egypt,0,1.776143930673019,0.45705623366404724,0.748650933997694,0.4607150922937531,0.9641699426068155,-0.860471811073112,0.32502534013993506,-0.3384726064928337,-0.45103851268025275,-0.12050197726328304
