country,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,governance_density_index,normative_orientation_index
United States,-0.15140569393178968,-0.812811328501516,-0.18872500092139616,4.872456052739814,2.5457590472621354
European Union,1.189807711320726,-1.1935056158017603,0.4872499788081417,2.4135296076226074,1.7778269019136437
United Kingdom,0.26125583763368415,-0.2059776319278136,-0.06075775534150209,2.0219162616476236,0.6657358050145333
Germany,0.19310195943067257,-1.0158258987449593,0.44474180308582517,0.5276980083644619,0.5840407003284105
Spain,-0.23676318228408993,0.23994562636537356,0.5045934830535099,0.4944394770755786,0.10856436481266767
Australia,0.37813367445889623,-0.5159422398218054,-0.3828676956170708,0.7523989753461362,0.33797629743680435
Saudi Arabia,0.48305510590779605,-1.1773661594171556,1.2246221815291416,0.055726337400075265,0.6047642476582132
Malta,-0.05387385214356004,-0.061973169979698234,-0.13997934030145007,0.13157431527100785,0.2143040819978278
Türkiye,-0.878726146023826,2.2627815711129444,-0.1618774493280804,1.4808722252618864,-0.5551351165519927
Singapore,-0.05560308267316029,-0.17404684844540644,-0.3922515561556663,-0.0008111396555895803,0.17881042777037834
Japan,0.75290858861318,-0.7567369667015454,0.6320931406479248,0.5847144056634864,0.5643782545601967
France,0.2886047578462255,-0.23804912005181617,0.049793048181297345,0.026607816990567173,0.20903168896653226
China,-0.20655616656199444,-0.612042774164294,-0.14397436691280144,-0.30275529098601806,0.40865598492473804
Austria,0.05821578740951476,-0.24545981831883354,0.3789702137675544,0.2867543432635295,0.09667731194551703
Belgium,-0.36913544761646366,1.3632806139619023,-0.19201472230431454,0.6884093542422193,-0.21777988033655368
India,0.04647536251373617,-0.7170449109728705,0.22437693589083005,0.42468171266100246,0.5356420337141151
Colombia,-0.4025981521337584,0.2599340294862736,-0.2031639797658397,0.312293545552544,0.02494504489189625
Israel,-0.07172907103969023,0.026644002260545255,0.7667671408024268,0.0014273791355498184,-0.1419782978253983
Canada,1.4358778187847894,-0.5206405392062521,0.33753342826645993,-0.1961764453919538,0.20667013936301068
Norway,-0.07610522466873125,-0.5347836253995414,0.4423082238334117,0.4214628353534076,0.5733204583528845
Mexico,0.10638341781615442,-0.3626076898997376,-0.06630651353983434,0.10423916914293958,-0.24781432142531665
Finland,-0.5334972891427556,0.12510114432511452,-0.0028114943890843944,0.08153913239645448,0.12133667720846487
