pc,top_positive_terms,top_negative_terms
PC16,000; personal data; personal; protection; article; law; ai; rights; data protection; public; 000 000; research; innovation; legal; international; provisions; protection personal; controller; processing personal; regulations; principles; processing; human rights; authority; government; regulatory; liability; person; right; ministry,learning; machine learning; quality; models; machine; model; ar; ticle; ar ticle; systems; data; ser; training; intelligence; artificial; ser vices; vices; language; artificial intelligence; software; used; online; skills; inf; guideline; quality management; digital; ed; trained; use
PC17,000; government; uk; intelligence; artificial; artificial intelligence; public; sector; decision; shall; making; gov uk; decision making; public sector; services; algorithmic; 000 000; use; sharing; bias; regulatory; ar; ticle; ar ticle; review; cdei; uk government; governance; data sharing; systems,https; learning; personal data; personal; research; education; machine; machine learning; science; eu; article; european; ai; www; contained; training; org; pdf; 2019; scientific; 2020; processing; 2023; https www; digital; skills; provision; protection; quality; 2018
PC18,shall; secretary; national; digital; committee; defense; science; security; ai; education; research; https; federal; program; learning; department; director; later; date; www; information; personal data; https www; gov; technology; administrator; appropriate; personal; science technology; machine learning,contained; provision; sec; european; eu; amendment; provision sec; senate amendment; liability; amendment contained; house contained; contained provision; contained similar; recedes; senate; inserting; similar provision; house; striking; decision; similar; regulation; rights; section; market; new; human; damage; law; companies
PC19,education; personal; skills; personal data; people; science; uk; students; online; school; human; training; decision; research; educational; digital skills; decision making; higher; jobs; processing; making; rights; higher education; work; controller; teachers; schools; protection; workers; technology,eu; european; https; data; models; public; service; services; management; cloud; security; model; article; open; machine; governance; infrastructure; europa; europa eu; sharing; project; administration; digital transformation; machine learning; entities; www; standards; 2020; regulatory; pdf
PC20,295; 295 133; high school; smartlabs; smartlabs 2023; pnrr smartlabs; pnrr; school; 133; 2023; shall; smart; high; smart laboratories; generative; secretary; generative ai; laboratories; college; 133 90; 00; equipment; school smart; technological high; 90; date; services; models; skills; article,research; sec; science; scientific; national; machine learning; machine; learning; development; science technology; decision; human; security; innovation; technology; policy; inserting; quality; decision making; ethics; striking; public; institute; rights; guidelines; human rights; guideline; principles; ethical; making
PC21,sec; 295; eu; systems; 295 133; security; subtitle; high school; european; smartlabs; smartlabs 2023; pnrr smartlabs; pnrr; 133; smart; health; states; high; personal; school; personal data; united; safety; united states; cyber; energy; smart laboratories; military; 2023; protection,contained; provision; house; senate; amendment; 000; provision sec; secretary; senate amendment; amendment contained; house contained; contained similar; recedes; contained provision; similar provision; shall; article; similar; 6601; data; conferees; house recedes; secretary defense; skills; paragraph; provision house; training; ai; section; date
PC22,295; public; 295 133; high school; smartlabs; smartlabs 2023; pnrr smartlabs; pnrr; 133; school; national; research; smart laboratories; 2023; government; laboratories; machine; smart; public sector; science; translated; machine translated; translated google; college; 133 90; provision; google; contained; development; 00,skills; eu; personal; european; personal data; digital; economy; new; market; jobs; states; shall; models; europe; united; united states; secretary; growth; technologies; generative; vietnam; workers; digital skills; future; companies; global; generative ai; labour; world; digital economy
PC23,european; eu; education; decision; digital; skills; europe; decision making; horizon; research; bias; europa; europa eu; data; commission; 000; making; ec; algorithmic; training; programme; framework; digital skills; horizon 2020; european commission; ec europa; secretary; regulatory; 2020; assessment,personal; personal data; sec; technology; government; services; public; ai; energy; generative; processing; ar; generative ai; ser; www; service; production; national; online; growth; ticle; sector; ar ticle; infrastructure; article; https www; machine; companies; industry; industrial
PC24,sec; education; training; article; skills; project; generative; ai; generative ai; public; lowprop; data; subtitle; students; language; aid; projects; law; models; educational; public sector; application; uk; digital skills; ministry; authority; provisions; lowprop lowprop; beneficiary; funds,systems; security; health; technology; personal; personal data; contained; human; technologies; house; privacy; senate; safety; eu; 295; defense; cyber; secretary; energy; risk; protection; provision; standards; smart; science; risks; united; amendment; rights; high
PC25,health; care; generative; generative ai; information; https; medical; services; research; healthcare; education; access; social; patient; systems; health care; content; patients; ministry; service; models; scientific; inserting; org; www; language; online; https www; clinical; institutions,machine learning; learning; uk; liability; quality; damage; industrial; machine; guideline; innovation; quality management; article; learning quality; economy; strategy; technology; states; law; digital; industrial science; advanced industrial; united; management guideline; industry; guideline national; institute 3rd; 3rd english; edition advanced; english edition; gov uk
