country,cluster_id,pca1,pca2,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,education_actor_centrality_index,governance_density_index
Argentina,0,2.008191472303326,-1.6614862020620562,1.6113401846915822,0.3589930688174598,-0.0791190832796331,0.0533715162099125,0.0159568975574
Bulgaria,0,1.2759606199817697,-1.1356387281758056,1.1879566889329791,0.1277651561366911,-0.0743281943309967,0.1549420705956976,-0.0930893583140211
France,0,2.107604642625588,0.2476523543406137,1.0571520492883169,-0.5626127549617944,0.1330076337315938,-0.3227523982285251,0.0528397625942248
Iceland,0,6.993188578396516,-0.9593588141741556,3.340301674431018,-1.0421418451060906,-0.0673702793086982,-0.0252823082896935,-0.3685975351707222
Kazakhstan,0,2.890290148499884,-2.4224996948493924,1.806489429178332,0.198011610621988,0.2592111888097619,-0.1797472547723402,-0.3502529551833502
Mauritius,0,6.343214602743357,-1.6871580855329975,1.134815481500552,-1.676528035920839,1.94062187929092,0.7240128807705117,-0.1484625753222578
Russia,0,3.757729858428016,-0.043285246320143,1.6493896780964243,-0.362442354947432,0.8196243433233358,0.5415845848845892,-0.4547050875665222
Switzerland,0,2.4625944801165907,-0.6944831618705979,1.7813671221947942,-0.3798705470027824,-0.2217163801864471,0.4372291357979994,0.2551181843999269
China,1,-0.0580328311893545,2.487392417372017,-0.0782331992947484,-0.6935780039990862,-0.5165341239086412,-0.0916812671849483,-0.3950407539045888
Council of Europe,1,1.2451495901541356,7.592934794685078,0.3805515669129919,-1.948407831984302,0.0086659273606344,0.1473549848379706,-0.661912948268108
Cyprus,1,-1.1478170373990813,1.7463540781449371,-0.3912863338835596,-0.5090442057659664,-0.493591659933573,-0.4010222992146095,-0.1296087914735293
G7,1,-0.9347153035228708,1.0763240613887932,-0.7270859400742671,-1.6571080504877342,-0.4653226509860411,-0.2336273226157915,-0.4419758551202104
Morocco,1,-0.7059066060286335,1.4535449362856256,-0.2158686291570706,0.0906906384916736,-0.0140300016441562,-0.8884687739280139,-0.5199651731228869
New Zealand,1,-0.8966844341289824,2.165758058243179,-0.7168615938559231,-0.4802569332415995,0.333934799029667,0.1473549848379706,-0.3950603495512177
Nigeria,1,-0.7220448193834693,3.975460867145034,-0.2158686291570706,-1.948407831984302,-0.6085069105542492,-1.406380653311006,-0.661912948268108
Rwanda,1,-0.8833645904394314,5.946728180262589,-0.8122888252271332,-1.948407831984302,0.0086659273606344,0.1473549848379706,-0.697399892054413
Sweden,1,-0.3240564465488174,1.5320140715456223,-0.5140787271921019,-1.2687083418256435,0.1718429175911723,0.479743445216403,-0.5133454760939549
United Nations,1,-0.7389921772973741,1.5371965146471671,-0.613482093203779,-0.589008851666985,0.3974185569657661,0.1473549848379706,-0.5199651731228869
World Economic Forum,1,0.1147563221173459,2.5395370510349493,-0.1899373162844592,-0.5299045481749279,0.7068990617014144,-0.1228599087531555,-0.3742125634617172
Croatia,2,-2.2214499953550964,0.2058417687899973,-0.641883054921401,0.3819904199882414,-0.2348509091418893,-1.406380653311006,-0.236069622832445
Global Partnership on Artificial Intelligence,2,-3.2436540380191867,-1.912628617553976,-0.8122888252271332,1.7219694148724545,-0.845171971039518,-1.0956335256812109,-0.5384085268355099
Greece,2,-1.262877994934184,3.997177204363418,-0.2158686291570706,0.0906906384916736,0.0086659273606344,0.1473549848379706,-0.661912948268108
Hungary,2,-1.8025902200767636,0.0435424667045509,-0.5737207467991081,1.3141497207772592,0.0753238216683158,-0.4741392704216199,-0.4236312751328384
Luxembourg,2,-3.4518640350705936,0.3381062049686544,,2.1297891089676493,-0.6085069105542492,0.1473549848379706,-0.661912948268108
Malaysia,2,-4.1334913248236695,2.118103412889818,,2.1297891089676493,0.0086659273606344,-2.9601162914599826,-0.697399892054413
OECD,2,-2.324234624308521,0.5056902744915072,-0.7580688074025821,0.8321809913920283,-0.2173121422094096,-0.982634570179467,-0.4156114952149005
Slovenia,2,-3.028369281941062,0.5819988679145157,,1.6200144913486554,-1.0118324587815146,0.1473549848379706,-0.5636694442776318
Australia,3,0.7842968648447195,-0.2386674898694999,0.3401351095596003,0.0627577827317286,-0.2074504661332969,0.1759440326149018,0.7890362090529358
Austria,3,0.0361063903968549,-0.8534823209010055,-0.1260349266452149,-0.1899192427664882,0.1201749217550984,0.7656114637418716,0.0787538202327849
Belgium,3,-0.4441682399309264,-1.6411546322675954,-0.1207470801349557,1.0821788856038452,-0.0073705951799229,0.2326679061356511,0.5269909811371475
Canada,3,-0.7837516520719495,0.2261217071789065,-0.4305798997422931,-0.0724372391464043,-0.0584291618497731,-0.349840419369702,-0.2096104303633457
Chile,3,-1.444038082976943,-0.9639159901273074,-0.4146753611804248,0.015168472918489,-1.1035426379158106,0.2950831894506073,-0.3667445047753733
Colombia,3,0.704975455212515,-0.3050919483705788,0.4332680687032694,0.2475443669898255,0.3084645068655977,-0.1886047714465823,-0.0551354775664423
Costa Rica,3,0.7379069515659451,-2.3851999240973063,0.5285725626858834,0.2106376073432016,0.0274407751195123,0.2646685590891812,-0.2352775175300465
Czech Republic,3,-0.6626657388413283,-1.393564770114393,-0.1583220022142222,0.6142429484787486,-0.4507781735649714,0.0301499328591218,0.4611654119487642
Denmark,3,-0.5093326800342658,-1.159555639902219,-0.0149318545135333,0.5612518239861297,-0.1228172263677235,0.4428777912354565,-0.0525629859538957
Egypt,3,-1.8378147703804963,-0.8244094592187263,-0.6677021110283301,0.2760632267167622,-0.5403484224689162,0.2541659240189691,-0.0934288353601417
Estonia,3,-1.2534761542349355,-0.9811193214543106,-0.5737207467991081,0.4985103325868686,-0.2497151544525954,-0.2965694832045943,-0.3203807204379746
Finland,3,0.5080719279251568,0.2559880806672305,0.0481099758327055,-0.2077140157243228,0.4195167994185927,0.2446394122658045,0.0046871399352706
Germany,3,1.0475824976277517,1.24049622641923,0.0578443511116137,-0.7022921000267612,0.515294674022552,0.0301157684400442,0.1529575851512653
India,3,1.6243839418738837,0.1801353557474554,0.3175095433896735,-1.1152278117898171,0.5611530960355895,-0.0204651506870792,0.3970941228461277
Indonesia,3,0.3594547029044488,-0.6593080533321068,-0.2403299749721415,-0.4875611665686777,-0.4959537712773152,-0.1641541000253498,1.6447383978417325
Ireland,3,-1.6496375911105952,-1.2485981564520376,-0.6859880778240612,1.1222345706148142,-0.0001761128678018,0.0895142485123508,-0.0098627450369574
Israel,3,-0.566127112670527,-0.6402783645852401,-0.4798578962700491,0.1241184822699683,0.2562280628837862,-0.1294064440358206,-0.1436330619232695
Italy,3,-1.4734534095825174,-1.0193707443096167,-0.5270443836284076,0.6226293699201891,-0.1833746418793759,-0.1712573224065191,-0.2258179536829634
Japan,3,1.8723349068961943,0.2014666153592292,0.6595061756269099,-0.7197202920821119,0.1619866391442952,0.1898692942563739,0.2753158181982966
Kenya,3,0.3082099600711896,-0.611229780592088,0.3208723163151443,-0.2977090701704171,-0.4925311348712543,0.2842845567672005,-0.2201435334567918
Korea (Republic of),3,-1.0215254914077196,-0.8177673939601623,-0.703848789578031,-0.2182636752168077,-0.2753687252741969,0.6041263742295321,-0.3081041162479407
Latvia,3,-1.004668335058004,-1.3880264962241342,-0.362674795601856,0.5612518239861297,0.0437181214653421,1.5289418743886374,-0.1774629834348907
Lithuania,3,-0.5973711719688228,-1.115657148477489,-0.066763580139555,-0.9288585967463142,-0.4174885365187817,0.2575037658683753,-0.4489912855502764
Malta,3,0.822483054040004,0.4163091750055098,-0.0629525691962009,0.0672527250379268,0.8233603215785796,0.1539288150356451,0.6526527697599688
Mexico,3,0.7098927394447059,1.1645707050339416,-0.1167425204544583,-0.4190839791273202,0.7907771470285194,-0.1892877367609741,0.1291818526208994
Netherlands,3,-0.8227081847994315,-1.2198188078597807,-0.7128854592154561,0.8553525649201645,1.0790606161584553,0.3319073451989209,-0.2355640184550596
Norway,3,0.7091888072327885,0.6581935572829498,-0.0640774239374089,-0.7489381434690224,0.2785984782503015,-0.0125883896773653,0.2213897811108952
Peru,3,-0.7711098198170265,0.0258017882580625,-0.4002133409999223,0.1171724368095432,0.0441819301532352,-0.4754652739189233,-0.0586630203706011
Poland,3,0.3968328210553836,-0.5852941686595117,0.3328637366841848,0.9063300266820636,1.377563169897055,0.54622113729209,-0.378017397977666
Portugal,3,-0.7033697353753875,-1.1328890236826674,-0.0415008600685019,0.924867285504573,-0.1848369026595759,0.4746484043837838,0.0084373582131589
Romania,3,0.139196715667802,-4.513090933440827,0.8555102865714894,1.6972530697757755,-0.7075343985859659,0.5774236394342827,-0.0646347195227211
Saudi Arabia,3,1.1585681352308477,0.8575989556285136,0.3801551430625647,-0.5659681909836406,0.4017503553547977,-0.0633210338940941,-0.1371966600885494
Serbia,3,-0.2058750935414089,-2.024294143558245,-0.052118624551392,0.9014165363917604,0.2846372923611958,0.4463087124944806,-0.0417579050623091
Singapore,3,-1.4615783046608848,-0.2406605113119919,-0.4067166455352911,0.6514427178725668,-0.259676387641504,0.19663061870857,-0.0331892202428752
Slovakia,3,-1.3597230342511015,-1.5613963497957526,-0.7421217433365375,1.5300542647100093,0.5265215073814473,0.2905859193316301,0.4736692528936596
Spain,3,0.4964471641674455,-1.1227212938949274,0.0693414807772196,0.2044600810504191,0.1238358202767704,-0.0108955112946493,0.5625217533813132
Thailand,3,1.495964486140851,0.1218453783053829,0.5146766575419411,-1.1887436959246251,-0.4257233722481459,0.1341678203300154,0.2254951019657149
Tunisia,3,1.1637115286740216,0.9198994766227334,0.0397400263015275,-1.948407831984302,0.3746873893779001,-0.2965694832045943,-0.5762999029986927
Türkiye,3,-1.398237237097146,-1.7991454846525747,-0.752646805620127,1.6776411872534112,0.0144121068704901,0.8567656092049574,1.2757745069295992
Ukraine,3,0.8949481648223598,1.0903709316523833,0.1670770052010133,-1.2798509564184088,0.3504038786801807,0.1389859463713876,0.1057448679385993
United Arab Emirates,3,-2.236661036362619,-1.7554176884927628,-0.8122888252271332,1.450089618808991,-0.1967467636425732,-0.8884687739280139,-0.5199651731228869
United Kingdom,3,0.2908291416109156,0.2005594338175798,-0.0507553006975886,0.2586163948838126,-0.0331254639990292,-0.3685570535955298,1.3236534793222812
Uruguay,3,-2.353157320998901,-2.8666841896987343,-0.7327661324177914,1.3141497207772592,-0.7596605739176018,1.1522520414994055,-0.4236312751328384
Uzbekistan,3,-1.9054415939159264,-2.955528796416791,-0.8122888252271332,0.0906906384916736,-1.5566961231366454,0.1473549848379706,-0.6254216549939308
Vietnam,3,-0.8652657707595733,0.8439766711409593,-0.1633733377201859,-0.4802569332415995,-0.6063913144256913,-0.4741392704216199,-0.240185475259118
European Union,4,5.8343277846621415,1.12018902985902,1.4394186753696454,-1.389603508059397,0.8282795583566611,0.0922972401916228,2.216408716935597
United States,4,3.916908864881088,0.9249969030623528,0.3285014887165893,-1.0844289134898375,0.2093346567470395,0.0383058596930259,5.276222391462444
