metric,mean_delta,median_delta,min_delta,max_delta
delta_strategy_share,0.030307138236557986,0.03317267299679716,-0.3421052631578947,0.4130572743138188
delta_norm_share,-0.023141375561090582,-0.0337387131176215,-0.3484848484848485,0.368421052631579
delta_rule_share,-0.005228781120172008,-0.0045169903899589005,-0.0595744680851063,0.0482970407593524
delta_strong_deontic_share,0.2426122767092397,0.19704992677266944,-0.0151515151515151,0.9647058823529412
delta_o_local_present,-0.005468451260558602,-0.0050423892870970505,-0.0789473684210526,0.07023809523809531
delta_statements_per_doc,-143.9366626249941,-105.89295704295705,-665.0,-2.75
